id,name,x_m,y_m,type
1,1,0.0,0.0,marker
2,2,-4.5,0.0,marker
3,3,-9.0,0.0,marker
4,4,-13.5,0.0,marker
5,5,-18.0,0.0,marker
6,6,-22.5,0.0,marker
7,7,-27.0,0.0,marker
8,8,-31.5,0.0,marker
9,9,-36.0,0.0,marker
10,10,-40.5,0.0,marker
11,11,-45.0,0.0,marker
12,12,-49.5,0.0,marker
13,13,-54.0,0.0,marker
14,14,-58.50,0.0,marker
15,15,-63.00,0.0,marker
16,16,-67.5,0.0,marker
17,17,-72.0,0.0,marker
18,18,-76.5,0.0,marker
19,19,-81.0,0.0,marker
20,20,-85.5,0.0,marker
22,22,-13.5,-4.5,marker
23,23,-13.5,-9.0,marker
21,21,-85.5,4.5,marker
24,24,-40.5,-4.4,marker
25,25,-45.0,-4.5,marker
26,26,-45.0,-9.0,marker
27,27,-45.0,4.5,marker
28,28,-40.5,4.5,marker
29,29,-40.5,9.0,marker
